Sample	ID	PIT	Group	Pop	Selection	Photoperiod	Sex	Weight_end	Length_end	Trial	Repeat	Arena	Beh_batch	Out_time_min	Activity	Explorated
F100	83	LA000000900226000789220	Hatchery HV	Hatchery	HV	12:12	1	11.7	104	83_3	1	1	3	3.231333333	0.295538814	0
F103	5	LA000000900226000772553	Hatchery LV	Hatchery	LV	12:12	1	17.4	121	5_3	1	1	2	0.089166667	0.084344633	1
F129	71	LA000000900226000790010	Hatchery HV	Hatchery	HV	24	-1	14.6	114	71_1	-1	1	5	0.104166667	0.22802576	1
F137	99	LA000000900226000790141	Hatchery LV	Hatchery	LV	24	-1	21	131	99_1	-1	4	5	0.364833333	0.237820945	0
F56	57	LA000000900226000789201	Hatchery HV	Hatchery	HV	12:12	-1	13.4	108	57_3	1	4	2	1.184666667	0.166601676	0
F64	10	LA000000900226000790628	Hatchery LV	Hatchery	LV	12:12	1	13.9	109	10_3	1	4	1	0.317166667	0.346820258	1
F67	1	LA000000900226000772580	Hatchery LV	Hatchery	LV	12:12	-1	16.2	116	1_3	1	3	1	0.181	0.560437439	1
F74	24	LA000000900226000076530	Hatchery LV	Hatchery	LV	12:12	-1	10.5	100	24_3	1	1	4	4.769	0.302383056	1
F87	79	LA000000900226000790199	Hatchery LV	Hatchery	LV	12:12	1	29.7	142	79_3	1	2	2	1.679833333	0.278908623	1
F129	71	LA000000900226000790010	Hatchery HV	Hatchery	HV	24	-1	14.6	114	71_2	0	4	1	0.091333333	0.56859026	1
F137	99	LA000000900226000790141	Hatchery LV	Hatchery	LV	24	-1	21	131	99_2	0	1	1	0.467666667	0.161484149	1
F106	8	LA000000900226000789976	Hatchery HV	Hatchery	HV	12:12	NA	12.6	108	8_2	-1	3	3	0.628166667	0.400157205	1
F60	61	LA000000900226000790180	Hatchery LV	Hatchery	LV	12:12	-1	NA	107	61_2	-1	1	2	0.112666667	0.80383718	1
F85	9	LA000000900226000772352	Hatchery HV	Hatchery	HV	12:12	-1	13.8	111	9_2	-1	1	3	0.793333333	0.068775561	1
	49	LA000000900226000789961	Hatchery HV	Hatchery	HV	24	NA	NA	NA	49_2	-1	1	3	0.242	0.092588347	0
	82	LA000000900226000790187	Hatchery LV	Hatchery	LV	24	NA	NA	NA	82_2	-1	1	1	0.126666667	0.385036796	1
	72	LA000000900226000772369	Hatchery LV	Hatchery	LV	24	NA	NA	NA	72_2	-1	2	1	0.037833333	0.836545283	1
F109	92	LA000000900226000790101	Hatchery LV	Hatchery	LV	12:12	-1	14.5	115	92_3	-1	3	5	1.476333333	0.193545307	1
F116	77	LA000000900226000772322	Hatchery LV	Hatchery	LV	24	1	18.5	119	77_2	-1	1	4	0.171	0.387686606	1
F121	97	LA000000900226000772278	Hatchery HV	Hatchery	HV	24	1	29.2	141	97_2	-1	2	2	1.661666667	0.566001182	1
F122	46	LA000000900226000789735	Hatchery LV	Hatchery	LV	24	1	18.7	125	46_2	-1	3	1	0.007333333	0.543656924	1
F123	87	LA000000900226000772299	Hatchery HV	Hatchery	HV	24	-1	16.4	119	87_2	-1	4	3	0.3205	0.225289638	0
F124	16	LA000000900226000772320	Hatchery HV	Hatchery	HV	24	1	13.1	109	16_2	-1	3	3	5.591666667	0.480932187	1
F60	61	LA000000900226000790180	Hatchery LV	Hatchery	LV	12:12	-1	NA	107	61_3	0	3	4	0.080833333	0.796983609	1
F85	9	LA000000900226000772352	Hatchery HV	Hatchery	HV	12:12	-1	13.8	111	9_3	0	4	5	0.855666667	0.174641401	1
F102	63	LA000000900226000790139	Hatchery LV	Hatchery	LV	12:12	-1	10	100	63_1	-1	1	1	0.528833333	0.66954004	1
F107	27	LA000000900226000524085	Hatchery LV	Hatchery	LV	12:12	-1	15.1	115	27_1	-1	3	1	5.313666667	0.377112665	1
F108	78	LA000000900226000772311	Hatchery LV	Hatchery	LV	12:12	1	11.9	105	78_1	-1	2	3	1.3945	0.081005326	1
F112	45	LA000000900226000789908	Hatchery HV	Hatchery	HV	12:12	-1	19.3	121	45_1	-1	3	2	0.047166667	0.186888581	1
F77	32	LA000000900226000790647	Hatchery LV	Hatchery	LV	12:12	1	31.5	144	32_1	-1	1	5	0.031333333	0.190475652	1
F81	23	LA000000900226000772582	Hatchery HV	Hatchery	HV	12:12	1	23.5	129	23_1	-1	4	2	4.040666667	0.504319238	0
F82	74	LA000000900226000790060	Hatchery HV	Hatchery	HV	12:12	-1	21.7	128	74_1	-1	1	3	0.777	0.905755043	1
F83	18	LA000000900226000772367	Hatchery HV	Hatchery	HV	12:12	-1	11.2	102	18_1	-1	2	1	9.75	NA	0
F91	13	LA000000900226000789972	Hatchery HV	Hatchery	HV	12:12	-1	14.9	115	13_1	-1	1	2	0.009333333	0.542180519	1
F92	53	LA000000900226000790143	Hatchery HV	Hatchery	HV	12:12	-1	18	118	53_1	-1	4	1	9.75	NA	0
F94	58	LA000000900226000790174	Hatchery HV	Hatchery	HV	12:12	-1	22.3	130	58_1	-1	2	4	1.156333333	0.382759636	1
F129	71	LA000000900226000790010	Hatchery HV	Hatchery	HV	24	-1	14.6	114	71_3	1	1	1	0.163666667	0.517472779	1
