trial	ID	PIT	Repeat	Batch	Arena	Observer	Group	Selection	Length	Out_time_min	Explorated	Activity	Treatment
pm1_1	pm1	LA000000900226000772385	1	3	4	Sara (SM)	control	HV	104	0.1807	1	0.42833048	aControl
pm1_2	pm1	LA000000900226000772385	2	2	1	Sara (SM)	control	HV	104	0.4628	1	0.15727719	aControl
pm1_3	pm1	LA000000900226000772385	3	3	1	Sara (SM)	burbot	HV	104	0.0843	1	0.24705996	Burbot
pm1_4	pm1	LA000000900226000772385	4	4	4	Jenni (JP)	control	HV	104	0.6843	1	0.40445549	aControl
pm1_5	pm1	LA000000900226000772385	5	2	3	Sara (SM)	burbot	HV	104	0.2135	1	0.15290411	Burbot
pm1_6	pm1	LA000000900226000772385	6	5	1	Sara (SM)	burbot	HV	104	6.7043	0	0.07578956	Burbot
pm10_1	pm10	LA000000900226000789273	1	3	1	Sara (SM)	burbot	HV	125	9.75	0	NA	Burbot
pm10_2	pm10	LA000000900226000789273	2	4	2	Sara (SM)	control	HV	125	3.7133	0	0.03340749	aControl
pm10_3	pm10	LA000000900226000789273	3	3	4	Sara (SM)	control	HV	125	0.3103	1	0.12218012	aControl
pm10_4	pm10	LA000000900226000789273	4	3	2	Sara (SM)	control	HV	125	2.6943	1	0.45538532	aControl
pm10_5	pm10	LA000000900226000789273	5	3	4	Sara (SM)	burbot	HV	125	0.8657	1	0.14163573	Burbot
pm10_6	pm10	LA000000900226000789273	6	3	1	Jenni (JP)	burbot	HV	125	0	1	0.15165744	Burbot
pm11_1	pm11	LA000000900226000790605	1	2	3	Sara (SM)	control	LV	126	8.2667	1	0.72258552	aControl
pm11_2	pm11	LA000000900226000790605	2	4	3	Sara (SM)	burbot	LV	126	0.2298	1	0.27984479	Burbot
pm11_3	pm11	LA000000900226000790605	3	4	2	Jenni (JP)	burbot	LV	126	0.0287	1	0.55789634	Burbot
pm11_4	pm11	LA000000900226000790605	4	2	4	Jenni (JP)	control	LV	126	9.5302	1	1	aControl
pm11_5	pm11	LA000000900226000790605	5	4	3	Sara (SM)	burbot	LV	126	0.01	1	0.78738912	Burbot
pm11_6	pm11	LA000000900226000790605	6	3	3	Jenni (JP)	control	LV	126	0.0832	1	0.9899657	aControl
pm12_1	pm12	LA000000900226000789962	1	1	3	Sara (SM)	control	LV	128	0.4743	1	0.50287365	aControl
