Sample_ID	PIT	Fish_ID	group	Sex	Photoperiod	pop	selection	subgroups
F100	LA000000900226000789220	83	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12
F127	LA000000900226000772518	4	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24
F85	LA000000900226000772352	9	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12
F118	LA000000900226000772390	36	Hatchery HV	1	24	Hatchery	HV	Hatchery HV 24
F121	LA000000900226000772278	97	Hatchery HV	1	24	Hatchery	HV	Hatchery HV 24
F108	LA000000900226000772311	78	Hatchery LV	1	12:12	Hatchery	LV	Hatchery LV 12:12
F83	LA000000900226000772367	18	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12
F123	LA000000900226000772299	87	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24
	LA000000900226000790173	66	Hatchery LV	NA	24	Hatchery	LV	Hatchery LV 24
F122	LA000000900226000789735	46	Hatchery LV	1	24	Hatchery	LV	Hatchery LV 24
	LA000000900226000772380	89	Hatchery LV	NA	24	Hatchery	LV	Hatchery LV 24
F112	LA000000900226000789908	45	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12
F82	LA000000900226000790060	74	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12
F57	LA000000900226000772253	69	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12
F129	LA000000900226000790010	71	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24
F94	LA000000900226000790174	58	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12
F56	LA000000900226000789201	57	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12
F124	LA000000900226000772320	16	Hatchery HV	1	24	Hatchery	HV	Hatchery HV 24
F58	LA000000900226000772374	39	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12
F134	LA000000982000357033042	21	Hatchery LV	1	24	Hatchery	LV	Hatchery LV 24
F95	LA000000900226000729143	41	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12
	LA000000900226000789961	49	Hatchery HV	NA	24	Hatchery	HV	Hatchery HV 24
F71	LA000000900226000772314	70	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12
F69	LA000000900226000772510	40	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12
F106	LA000000900226000789976	8	Hatchery HV	NA	12:12	Hatchery	HV	Hatchery HV 12:12
F92	LA000000900226000790143	53	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12
F91	LA000000900226000789972	13	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12
F59	LA000000900226000772551	28	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12
F131	LA000000900226000789994	33	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24
F107	LA000000900226000524085	27	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12
F109	LA000000900226000790101	92	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12
F128	LA000000900226000790665	17	Hatchery LV	1	24	Hatchery	LV	Hatchery LV 24
F116	LA000000900226000772322	77	Hatchery LV	1	24	Hatchery	LV	Hatchery LV 24
F81	LA000000900226000772582	23	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12
F64	LA000000900226000790628	10	Hatchery LV	1	12:12	Hatchery	LV	Hatchery LV 12:12
	LA000000900226000772369	72	Hatchery LV	NA	24	Hatchery	LV	Hatchery LV 24
F132	LA000000900226000790112	88	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24
F90	LA000000900226000790196	91	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12
F67	LA000000900226000772580	1	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12
F125	LA000000900226000790155	67	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24
F86	LA000000900226000729111	25	Wild LV	1	12:12	Wild	LV	Wild LV 12:12
F119	LA000000900226000789901	47	Wild HV	1	24	Wild	HV	Wild HV 24
F140	LA000000900226000772391	48	Wild HV	1	24	Wild	HV	Wild HV 24
	LA000000900226000772286	44	Wild HV	NA	24	Wild	HV	Wild HV 24
	LA000000900226000790624	90	Wild HV	NA	24	Wild	HV	Wild HV 24
F117	LA000000900226000789999	52	Wild LV	-1	24	Wild	LV	Wild LV 24
F88	LA000000900226000789970	81	Wild LV	1	12:12	Wild	LV	Wild LV 12:12
F72	LA000000900226000789202	64	Wild HV	1	12:12	Wild	HV	Wild HV 12:12
F70	LA000000982000359701574	35	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12
	LA000000900226000772365	100	Wild HV	NA	24	Wild	HV	Wild HV 24
F97	LA000000982000359701552	94	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12
F75	LA000000900226000789942	93	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12
F96	LA000000900226000772251	42	Wild HV	-1	12:12	Wild	HV	Wild HV 12:12
	LA000000900226000789233	38	Wild LV	NA	24	Wild	LV	Wild LV 24
F105	LA000000900226000790144	11	Wild LV	1	12:12	Wild	LV	Wild LV 12:12
F114	LA000000900226000772316	95	Wild HV	-1	24	Wild	HV	Wild HV 24
	LA000000900226000772244	7	Wild HV	NA	24	Wild	HV	Wild HV 24
F120	LA000000900226000790663	54	Wild HV	-1	24	Wild	HV	Wild HV 24
F73	LA000000900226000790674	59	Wild HV	1	12:12	Wild	HV	Wild HV 12:12
F68	LA000000900226000789212	3	Wild LV	1	12:12	Wild	LV	Wild LV 12:12
F54	LA000000900226000790125	43	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12
