Batch	Fish_ID	Sample_ID	PIT	group	Sex	Photoperiod	pop	selection	subgroups	low10	q0.1	q0.2	ave_MR	Mass	Chamber.No	Temp
1	all.slopes.Batch1	47	F119	LA000000900226000789901	Wild HV	1	24	Wild	HV	Wild HV 24	3.30818136117199	3.52722672050577	3.65878281248623	3.96667218542894	13.1	CH1	4.13556790123457
2	all.slopes.Batch1	88	F132	LA000000900226000790112	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24	2.6413650399487	3.02811687478769	3.3359848573002	4.60755203264402	15.1	CH4	4.1397922933034
3	all.slopes.Batch1	90		LA000000900226000790624	Wild HV	NA	24	Wild	HV	Wild HV 24	1.89104327065552	1.77480936812112	2.01478018880748	3.36264616082228	22.1	CH3	4.1402054862349
4	all.slopes.Batch10	25	F86	LA000000900226000729111	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	2.46361271794724	2.27227676608549	2.57127635765452	3.48584837730024	16.6	CH1	4.30985204081633
5	all.slopes.Batch10	58	F94	LA000000900226000790174	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	2.49814212290164	2.30572423717654	2.3537273875187	3.63492625751365	21.2	CH3	4.30770346320346
6	all.slopes.Batch10	94	F97	LA000000982000359701552	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	3.180980065131	3.18847896862999	3.51018773126385	4.2558490266799	21.2	CH4	4.37052063492064
7	all.slopes.Batch11	23	F81	LA000000900226000772582	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12	2.50207933220833	2.39167973200911	3.4405001883694	5.13862589518403	18.5	CH4	4.16304956268222
8	all.slopes.Batch11	60	F78	LA000000900226000790653	Wild HV	-1	12:12	Wild	HV	Wild HV 12:12	3.2427649720215	3.52746302440376	4.08556984604949	4.48162531724109	18.3	CH1	4.15202589807853
9	all.slopes.Batch11	80	F61	LA000000900226000790131	Wild HV	1	12:12	Wild	HV	Wild HV 12:12	3.29699487085318	3.62350039105889	4.00278803228049	5.01390927554419	14.8	CH3	4.15540016708438
10	all.slopes.Batch12	100		LA000000900226000772365	Wild HV	NA	24	Wild	HV	Wild HV 24	2.39201874675098	2.51891612593067	2.77386833542234	3.34558479226113	11.6	CH1	4.06880503144654
11	all.slopes.Batch12	33	F131	LA000000900226000789994	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24	2.99329454592795	3.02876002569161	3.45006725027729	3.94806056519617	14.1	CH4	4.06535260770975
12	all.slopes.Batch12	36	F118	LA000000900226000772390	Hatchery HV	1	24	Hatchery	HV	Hatchery HV 24	3.28437966203165	2.43966684089809	2.79883790610495	3.65695670166613	15.1	CH3	4.05010256410256
13	all.slopes.Batch13	30	F99	LA000000900226000789955	Wild HV	1	12:12	Wild	HV	Wild HV 12:12	2.87479923637206	3.25490956259112	3.64912649438667	4.01554763237164	14.7	CH1	4.22882800284293
14	all.slopes.Batch13	63	F102	LA000000900226000790139	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12	2.7048508924265	2.71422412477613	2.86887126773076	3.23867350169545	10.4	CH4	4.23190620490621
15	all.slopes.Batch13	85	F98	LA000000900226000789964	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	2.70888326786719	2.88459031627033	3.3669308072196	4.19024093154739	13.4	CH3	4.23014495798319
16	all.slopes.Batch14	13	F91	LA000000900226000789972	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	2.86958089398548	2.99175218048124	3.27938175208473	4.04523814607997	13.3	CH3	4.5231671957672
17	all.slopes.Batch14	41	F95	LA000000900226000729143	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12	2.56673688101812	2.56415457301004	3.06688361321955	3.60909854294753	12	CH4	4.52899450549451
18	all.slopes.Batch14	81	F88	LA000000900226000789970	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	2.25234577918068	2.34714297647634	2.64943187940312	3.31146363662489	17	CH1	4.50192623716153
19	all.slopes.Batch15	22	F138	LA000000900226000076467	Wild LV	1	24	Wild	LV	Wild LV 24	4.34598685438788	4.55982134180767	4.78428759157204	5.30086983993727	13.1	CH3	4.57472327044025
20	all.slopes.Batch15	37	F136	LA000000982000359701619	Wild LV	-1	24	Wild	LV	Wild LV 24	2.66614476152922	3.04967219256081	3.38534787034669	4.1634081633917	18.9	CH1	4.57299333333333
21	all.slopes.Batch15	4	F127	LA000000900226000772518	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24	3.1541288890854	2.83803540062216	2.97998832407707	3.40856735147803	15.1	CH4	4.61189115646259
22	all.slopes.Batch16	15	F84	LA000000900226000790128	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	3.73499433862041	3.20855249980656	5.24322479534993	6.0302253107167	17.3	CH3	4.99159637188209
23	all.slopes.Batch16	18	F83	LA000000900226000772367	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	2.85183107212393	2.84267978116439	2.92581738564814	3.26383242866847	10.9	CH4	4.99199489795918
24	all.slopes.Batch16	53	F92	LA000000900226000790143	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	4.34048170603972	4.34929009708724	4.6004898671481	5.20018475203718	14.7	CH2	4.99126041666667
25	all.slopes.Batch16	78	F108	LA000000900226000772311	Hatchery LV	1	12:12	Hatchery	LV	Hatchery LV 12:12	2.73164045642203	2.63853900417788	2.82750064037013	3.29563920045014	10.8	CH1	4.99035873015873
26	all.slopes.Batch17	27	F107	LA000000900226000524085	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12	3.75530052079206	3.79784004568318	4.56519112613753	4.78603221380606	15	CH4	5.10450297619048
27	all.slopes.Batch17	45	F112	LA000000900226000789908	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	3.98362184302203	3.97115580788757	4.29026956154715	4.88110056623695	15.4	CH2	5.11202070393375
28	all.slopes.Batch17	59	F73	LA000000900226000790674	Wild HV	1	12:12	Wild	HV	Wild HV 12:12	2.47299999586841	2.30434889126036	2.75703171803119	4.30928515608702	20.3	CH3	5.07611544011544
