Sample_ID	PIT	Fish_ID	group	Sex	Photoperiod	pop	selection	subgroups	Metab_chamber	Mass_g_postMR	Ave_O2_mg_h	Min_O2_mg_h	Temp
F100	LA000000900226000789220	83	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12	1	12	1.37675128	0.337668116	4.63
F127	LA000000900226000772518	4	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24	4	15.1	1.388218681	0.540411721	4.59
F85	LA000000900226000772352	9	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	3	12.7	1.449500446	0.431603048	4.25
F118	LA000000900226000772390	36	Hatchery HV	1	24	Hatchery	HV	Hatchery HV 24	3	15.1	1.508090531	0.456154924	4.07
F121	LA000000900226000772278	97	Hatchery HV	1	24	Hatchery	HV	Hatchery HV 24	4	22.5	1.630160868	0.655461421	4.38
F108	LA000000900226000772311	78	Hatchery LV	1	12:12	Hatchery	LV	Hatchery LV 12:12	1	10.8	1.639469601	0.364180874	5
F83	LA000000900226000772367	18	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	4	10.9	1.654244992	0.339822699	5
F123	LA000000900226000772299	87	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24	3	15.3	1.666641359	0.476790837	4.38
	LA000000900226000790173	66	Hatchery LV	NA	24	Hatchery	LV	Hatchery LV 24	1	11.7	1.700960432	0.476929975	5.11
F122	LA000000900226000789735	46	Hatchery LV	1	24	Hatchery	LV	Hatchery LV 24	3	15.9	1.793023905	0.61235251	4.5
	LA000000900226000772380	89	Hatchery LV	NA	24	Hatchery	LV	Hatchery LV 24	2	12.3	1.811308094	0.410892934	5.11
F112	LA000000900226000789908	45	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	2	15.4	1.853247076	0.418886424	5.1
F82	LA000000900226000790060	74	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	1	18.6	1.877356725	0.659475287	5.1
F57	LA000000900226000772253	69	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12	2	13.1	1.964317455	0.549119227	4.83
F129	LA000000900226000790010	71	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24	2	13.7	2.011457706	0.490167251	5.02
F94	LA000000900226000790174	58	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	3	21.2	2.062914723	0.738672383	4.34
F56	LA000000900226000789201	57	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	2	13.3	2.116245294	0.383152156	4.9
F124	LA000000900226000772320	16	Hatchery HV	1	24	Hatchery	HV	Hatchery HV 24	4	11.7	2.131671284	0.387001926	4.17
F58	LA000000900226000772374	39	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	3	24	2.237994124	0.898056039	5.08
F134	LA000000982000357033042	21	Hatchery LV	1	24	Hatchery	LV	Hatchery LV 24	2	11.7	2.340824313	0.437495863	4.47
F95	LA000000900226000729143	41	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12	4	12	2.389524873	0.368489829	4.5
	LA000000900226000789961	49	Hatchery HV	NA	24	Hatchery	HV	Hatchery HV 24	1	15.8	2.397452193	0.638142981	4.38
F71	LA000000900226000772314	70	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12	1	13.5	2.447414041	0.533633304	5.08
F69	LA000000900226000772510	40	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12	4	21.1	2.490241368	0.800920555	5.08
F106	LA000000900226000789976	8	Hatchery HV	NA	12:12	Hatchery	HV	Hatchery HV 12:12	4	12.6	2.523263738	0.487729096	4.35
F92	LA000000900226000790143	53	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	2	14.7	2.657529084	0.565283715	5
F91	LA000000900226000789972	13	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	3	13.3	2.722934266	0.536285658	4.5
F59	LA000000900226000772551	28	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12	4	17.7	2.760548983	0.701469445	5.08
F131	LA000000900226000789994	33	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24	4	14.1	2.894544349	0.435820554	4.07
F107	LA000000900226000524085	27	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12	4	15	2.943135626	0.650855639	5.1
F109	LA000000900226000790101	92	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12	4	14.4	2.972834558	0.604820937	4.3
F128	LA000000900226000790665	17	Hatchery LV	1	24	Hatchery	LV	Hatchery LV 24	3	16.8	3.222404881	0.617968836	4.17
F116	LA000000900226000772322	77	Hatchery LV	1	24	Hatchery	LV	Hatchery LV 24	4	14.4	3.258728407	0.65275973	4.21
F81	LA000000900226000772582	23	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12	4	18.5	3.391041494	0.687761328	4.16
F64	LA000000900226000790628	10	Hatchery LV	1	12:12	Hatchery	LV	Hatchery LV 12:12	2	13.8	3.391818662	0.625015637	4.57
	LA000000900226000772369	72	Hatchery LV	NA	24	Hatchery	LV	Hatchery LV 24	4	14.2	3.45955274	0.644705377	4.5
F132	LA000000900226000790112	88	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24	4	15.1	3.50328509	0.579671084	4.13
F90	LA000000900226000790196	91	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12	4	16.2	3.610246358	0.679530512	4.25
F67	LA000000900226000772580	1	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12	2	16	3.736353956	0.689017612	4.63
F125	LA000000900226000790155	67	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24	1	15.1	4.078533235	0.841229192	4.47
F86	LA000000900226000729111	25	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	1	16.6	1.933919744	0.49405363	4.34
F119	LA000000900226000789901	47	Wild HV	1	24	Wild	HV	Wild HV 24	1	13.1	2.054513872	0.453805666	4.13
F140	LA000000900226000772391	48	Wild HV	1	24	Wild	HV	Wild HV 24	2	20.8	2.089866069	0.809396928	4.44
	LA000000900226000772286	44	Wild HV	NA	24	Wild	HV	Wild HV 24	1	16.8	2.154489354	0.517121693	4.44
	LA000000900226000790624	90	Wild HV	NA	24	Wild	HV	Wild HV 24	3	22.1	2.319490613	0.734760667	4.13
F117	LA000000900226000789999	52	Wild LV	-1	24	Wild	LV	Wild LV 24	1	14.6	2.417480108	0.40510625	4.21
F88	LA000000900226000789970	81	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	1	17	2.495224316	0.673680358	4.5
F72	LA000000900226000789202	64	Wild HV	1	12:12	Wild	HV	Wild HV 12:12	1	14.5	2.498322311	0.556987809	4.57
F70	LA000000982000359701574	35	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	1	11.8	2.505149883	0.500087537	4.78
