Sample	OD	Dilution
cont1	0.4539	10
cont1	0.4698	10
cont10	0.4963	10
cont10	0.5045	10
cont11	0.3667	10
cont11	0.3738	10
cont2	0.4067	10
cont2	0.4133	10
cont3	0.2014	10
cont3	0.2018	10
cont5	0.4086	10
cont5	0.4225	10
cont7	0.1721	10
cont7	0.1914	10
cont8	0.1563	10
cont8	0.1429	10
cont9	0.2206	10
cont9	0.2249	10
F54	0.0636	20
F54	0.0768	20
F56	0.1042	20
F56	0.1053	20
F57	0.0725	20
F57	0.069	20
F60	0.0962	20
F60	0.0972	20
F61	0.0824	20
F61	0.0812	20
F63	0.08	20
F63	0.0871	20
F66	0.0786	20
F66	0.0822	20
F67	0.1009	20
F67	0.1002	20
F69	0.1293	20
F69	0.1008	20
F70	0.0593	23
F70	0.0686	23
F71	0.1346	20
F71	0.1451	20
F72	0.0921	20
F72	0.0933	20
F73	0.0514	20
F73	0.0552	20
F74	0.0804	20
F74	0.0894	20
F75	0.0724	20
F75	0.054	20
F76	0.1966	52
F76	0.1755	52
F77	0.0911	20
F77	0.0825	20
F78	0.0484	20
F78	0.0526	20
F79	0.0665	20
F79	0.0648	20
F81	0.1807	20
F81	0.187	20
F82	0.119	20
F82	0.1343	20
F84	0.0671	20
F84	0.0658	20
F86	0.106	20
F86	0.1114	20
F88	0.0689	20
F88	0.0747	20
F90	0.151	20
F90	0.1526	20
F91	0.129	25.6
F91	0.1274	25.6
F92	0.104	20
F92	0.1002	20
